пакет,версия,лицензия,поставка
chownr,1.1.4,ISC,да
class-variance-authority,0.7.1,Apache-2.0,да
client-only,0.0.1,MIT,да
clsx,2.1.1,MIT,да
color-convert,2.0.1,MIT,нет
color-name,1.1.4,MIT,нет
concat-map,0.0.1,MIT,нет
convert-source-map,2.0.0,MIT,нет
cross-spawn,7.0.6,MIT,нет
csstype,3.2.3,MIT,нет
damerau-levenshtein,1.0.8,BSD-2-Clause,нет
data-view-buffer,1.0.2,MIT,нет
data-view-byte-length,1.0.2,MIT,нет
data-view-byte-offset,1.0.1,MIT,нет
debug,3.2.7,MIT,нет
debug,4.4.3,MIT,нет
decompress-response,6.0.0,MIT,да
deep-extend,0.6.0,MIT,да
deep-is,0.1.4,MIT,нет
define-data-property,1.1.4,MIT,нет
define-properties,1.2.1,MIT,нет
detect-libc,2.1.2,Apache-2.0,да
detect-node-es,1.1.0,MIT,да
doctrine,2.1.0,Apache-2.0,нет
drizzle-kit,0.31.10,MIT,нет
drizzle-orm,0.45.2,Apache-2.0,да
dunder-proto,1.0.1,MIT,нет
electron-to-chromium,1.5.422,ISC,нет
emoji-regex,9.2.2,MIT,нет
end-of-stream,1.4.5,MIT,да
enhanced-resolve,5.24.5,MIT,нет
es-abstract,1.24.2,MIT,нет
es-abstract-get,1.0.0,MIT,нет
es-define-property,1.0.1,MIT,нет
es-errors,1.3.0,MIT,нет
es-iterator-helpers,1.4.0,MIT,нет
es-object-atoms,1.1.2,MIT,нет
es-set-tostringtag,2.1.0,MIT,нет
es-shim-unscopables,1.1.0,MIT,нет
es-to-primitive,1.3.4,MIT,нет
esbuild,0.18.20,MIT,нет
esbuild,0.25.12,MIT,нет
esbuild,0.28.2,MIT,нет
escalade,3.2.0,MIT,нет
escape-string-regexp,4.0.0,MIT,нет
eslint,9.39.4,MIT,нет
eslint-config-next,16.2.6,MIT,нет
eslint-import-resolver-node,0.3.10,MIT,нет
eslint-import-resolver-typescript,3.10.1,ISC,нет
eslint-module-utils,2.14.0,MIT,нет
eslint-plugin-import,2.32.0,MIT,нет
eslint-plugin-jsx-a11y,6.10.2,MIT,нет
eslint-plugin-react,7.37.5,MIT,нет
eslint-plugin-react-hooks,7.1.1,MIT,нет
eslint-scope,8.4.0,BSD-2-Clause,нет
eslint-visitor-keys,3.4.3,Apache-2.0,нет
eslint-visitor-keys,4.2.1,Apache-2.0,нет
eslint-visitor-keys,5.0.1,Apache-2.0,нет
espree,10.4.0,BSD-2-Clause,нет
esquery,1.7.0,BSD-3-Clause,нет
esrecurse,4.3.0,BSD-2-Clause,нет
estraverse,5.3.0,BSD-2-Clause,нет
esutils,2.0.3,BSD-2-Clause,нет
expand-template,2.0.3,(MIT OR WTFPL),да
fast-deep-equal,3.1.3,MIT,нет
fast-glob,3.3.1,MIT,нет
fast-json-stable-stringify,2.1.0,MIT,нет
fast-levenshtein,2.0.6,MIT,нет
fastq,1.20.3,ISC,нет
fdir,6.5.0,MIT,нет
file-entry-cache,8.0.0,MIT,нет
file-uri-to-path,1.0.0,MIT,да
fill-range,7.1.1,MIT,нет
find-up,5.0.0,MIT,нет
flat-cache,4.0.1,MIT,нет
flatted,3.4.4,ISC,нет
for-each,0.3.5,MIT,нет
framer-motion,13.4.0,MIT,да
fs-constants,1.0.0,MIT,да
fsevents,2.3.2,MIT,нет
fsevents,2.3.3,MIT,нет
function-bind,1.1.2,MIT,нет
function.prototype.name,1.2.0,MIT,нет
functions-have-names,1.2.3,MIT,нет
generator-function,2.0.1,MIT,нет
gensync,1.0.0-beta.2,MIT,нет
get-intrinsic,1.3.0,MIT,нет
get-nonce,1.0.1,MIT,да
get-proto,1.0.1,MIT,нет
get-symbol-description,1.1.0,MIT,нет
get-tsconfig,4.14.3,MIT,нет
github-from-package,0.0.0,MIT,да
glob-parent,5.1.2,ISC,нет
glob-parent,6.0.2,ISC,нет
globals,14.0.0,MIT,нет
globals,16.4.0,MIT,нет
globalthis,1.0.4,MIT,нет
gopd,1.2.0,MIT,нет
graceful-fs,4.2.11,ISC,нет
has-bigints,1.1.0,MIT,нет
has-flag,4.0.0,MIT,нет
has-property-descriptors,1.0.2,MIT,нет
has-proto,1.2.0,MIT,нет
has-symbols,1.1.0,MIT,нет
has-tostringtag,1.0.2,MIT,нет
hasown,2.0.4,MIT,нет
hermes-estree,0.25.1,MIT,нет
hermes-parser,0.25.1,MIT,нет
hls.js,1.6.13,Apache-2.0,да
ieee754,1.2.1,BSD-3-Clause,да
ignore,5.3.2,MIT,нет
ignore,7.0.8,MIT,нет
import-fresh,3.3.1,MIT,нет
imurmurhash,0.1.4,MIT,нет
inherits,2.0.4,ISC,да
ini,1.3.8,ISC,да
internal-slot,1.1.0,MIT,нет
is-array-buffer,3.0.5,MIT,нет
is-async-function,2.1.1,MIT,нет
is-bigint,1.1.0,MIT,нет
is-boolean-object,1.2.2,MIT,нет
is-bun-module,2.0.0,MIT,нет
is-callable,1.2.7,MIT,нет
is-core-module,2.16.2,MIT,нет
is-data-view,1.0.2,MIT,нет
is-date-object,1.1.0,MIT,нет
is-document.all,1.0.0,MIT,нет
is-extglob,2.1.1,MIT,нет
is-finalizationregistry,1.1.1,MIT,нет
is-generator-function,1.1.2,MIT,нет
is-glob,4.0.3,MIT,нет
is-map,2.0.3,MIT,нет
is-negative-zero,2.0.3,MIT,нет
is-number,7.0.0,MIT,нет
is-number-object,1.1.1,MIT,нет
is-regex,1.2.1,MIT,нет
is-set,2.0.3,MIT,нет
is-shared-array-buffer,1.0.4,MIT,нет
is-string,1.1.1,MIT,нет
is-symbol,1.1.1,MIT,нет
is-typed-array,1.1.15,MIT,нет
is-weakmap,2.0.2,MIT,нет
is-weakref,1.1.1,MIT,нет
is-weakset,2.0.4,MIT,нет
isarray,2.0.5,MIT,нет
isexe,2.0.0,ISC,нет
iterator.prototype,1.1.5,MIT,нет
jiti,2.7.0,MIT,нет
js-tokens,4.0.0,MIT,нет
js-yaml,4.3.2,MIT,нет
jsesc,3.1.0,MIT,нет
json-buffer,3.0.1,MIT,нет
json-schema-traverse,0.4.1,MIT,нет
json-stable-stringify-without-jsonify,1.0.1,MIT,нет
json5,1.0.2,MIT,нет
json5,2.2.3,MIT,нет
jsx-ast-utils,3.3.5,MIT,нет
keyv,4.5.4,MIT,нет
language-subtag-registry,0.3.23,CC0-1.0,нет
language-tags,1.0.9,MIT,нет
levn,0.4.1,MIT,нет
lightningcss,1.31.1,MPL-2.0,нет
lightningcss-android-arm64,1.31.1,MPL-2.0,нет
lightningcss-darwin-arm64,1.31.1,MPL-2.0,нет
lightningcss-darwin-x64,1.31.1,MPL-2.0,нет
lightningcss-freebsd-x64,1.31.1,MPL-2.0,нет
lightningcss-linux-arm-gnueabihf,1.31.1,MPL-2.0,нет
lightningcss-linux-arm64-gnu,1.31.1,MPL-2.0,нет
lightningcss-linux-arm64-musl,1.31.1,MPL-2.0,нет
lightningcss-linux-x64-gnu,1.31.1,MPL-2.0,нет
lightningcss-linux-x64-musl,1.31.1,MPL-2.0,нет
lightningcss-win32-arm64-msvc,1.31.1,MPL-2.0,нет
lightningcss-win32-x64-msvc,1.31.1,MPL-2.0,нет
locate-path,6.0.0,MIT,нет
lodash.merge,4.6.2,MIT,нет
loose-envify,1.4.0,MIT,нет
lru-cache,5.1.1,ISC,нет
lucide-react,1.41.0,ISC,да
magic-string,0.30.21,MIT,нет
math-intrinsics,1.1.0,MIT,нет
mediabunny,1.55.7,MPL-2.0,да
merge2,1.4.1,MIT,нет
micromatch,4.0.8,MIT,нет
mimic-response,3.1.0,MIT,да
minimatch,10.2.6,BlueOak-1.0.0,нет
minimatch,3.1.5,ISC,нет
minimist,1.2.8,MIT,да
mkdirp-classic,0.5.3,MIT,да
motion,13.4.0,MIT,да
motion-dom,13.3.0,MIT,да
motion-utils,13.3.0,MIT,да
ms,2.1.3,MIT,нет
nanoid,3.3.18,MIT,да
napi-build-utils,2.0.0,MIT,да
napi-postinstall,0.3.4,MIT,нет
natural-compare,1.4.0,MIT,нет
next,16.3.6,MIT,да
node-abi,3.96.0,MIT,да
node-exports-info,1.6.2,MIT,нет
node-releases,2.0.54,MIT,нет
object-assign,4.1.1,MIT,нет
object-inspect,1.13.4,MIT,нет
object-keys,1.1.1,MIT,нет
object.assign,4.1.7,MIT,нет
object.entries,1.1.9,MIT,нет
object.fromentries,2.0.8,MIT,нет
object.groupby,1.0.3,MIT,нет
object.values,1.2.1,MIT,нет
once,1.4.0,ISC,да
optionator,0.9.4,MIT,нет
own-keys,1.0.2,MIT,нет
p-limit,3.1.0,MIT,нет
p-locate,5.0.0,MIT,нет
parent-module,1.0.1,MIT,нет
path-exists,4.0.0,MIT,нет
path-key,3.1.1,MIT,нет
path-parse,1.0.7,MIT,нет
picocolors,1.1.1,ISC,да
picomatch,2.3.2,MIT,нет
picomatch,4.0.7,MIT,нет
playwright,1.56.1,Apache-2.0,нет
playwright-core,1.56.1,Apache-2.0,нет
possible-typed-array-names,1.1.0,MIT,нет
postcss,8.5.23,MIT,да
postcss,8.5.28,MIT,да
prebuild-install,7.1.3,MIT,да
prelude-ls,1.2.1,MIT,нет
prop-types,15.8.1,MIT,нет
pump,3.0.4,MIT,да
punycode,2.3.1,MIT,нет
queue-microtask,1.2.3,MIT,нет
radix-ui,1.6.7,MIT,да
rc,1.2.8,(BSD-2-Clause OR MIT OR Apache-2.0),да
react,19.2.6,MIT,да
react-dom,19.2.6,MIT,да
react-is,16.13.1,MIT,нет
react-remove-scroll,2.7.2,MIT,да
react-remove-scroll-bar,2.3.8,MIT,да
react-style-singleton,2.2.3,MIT,да
readable-stream,3.6.2,MIT,да
reflect.getprototypeof,1.0.10,MIT,нет
regexp.prototype.flags,1.5.4,MIT,нет
resolve,2.0.0-next.7,MIT,нет
resolve-from,4.0.0,MIT,нет
resolve-pkg-maps,1.0.0,MIT,нет
reusify,1.1.0,MIT,нет
run-parallel,1.2.0,MIT,нет
safe-array-concat,1.1.4,MIT,нет
safe-buffer,5.2.1,MIT,да
safe-push-apply,1.0.0,MIT,нет
safe-regex-test,1.1.0,MIT,нет
scheduler,0.27.0,MIT,да
semver,6.3.1,ISC,да
semver,7.8.5,ISC,да
set-function-length,1.2.2,MIT,нет
set-function-name,2.0.2,MIT,нет
set-proto,1.0.0,MIT,нет
sharp,0.35.4,Apache-2.0,да
shebang-command,2.0.0,MIT,нет
shebang-regex,3.0.0,MIT,нет
side-channel,1.1.1,MIT,нет
side-channel-list,1.0.1,MIT,нет
side-channel-map,1.0.1,MIT,нет
